B21K	锻件或压制件的制造，如马蹄铁、铆钉、螺栓、轮子
B21L	链条的制造
B22C	铸造造型
B22D	金属铸造；用相同工艺或设备的其它物质的铸造
B22F	金属粉末的加工；由金属粉末制造制品；金属粉末的制造
B23B	车削；镗削
B23C	铣削
B23D	刨削；插削；剪切；拉削；锯；锉削；刮削；其它类不包括的用切除材料方式对金属加工的类似操作
B23F	齿轮或齿条的制造
B23G	螺纹切制；螺钉、螺栓头、或螺母的加工，及其有关的加工
B23H	用电极代替刀具；以电流高度集中的作用在工件上的金属加工；这种加工与其它方式的金属加工的组合
B23K	钎焊或脱焊；焊接；用钎焊或焊接方法包覆或镀敷；局部加热切割，如火焰切割；用激光束加工
B23P	金属的其它加工；组合加工；万能机床
B23Q	机床的零件、部件、或附件，如仿形装置或控制装置；以特殊零件或部件的结构为特征的通用机床；不针对某一特殊金属加工用途的金属加工机床的组合或联合
B24B	用于磨削或抛光的机床、装置或工艺；磨具磨损表面的修理或调节；磨削，抛光剂或研磨剂的进给
B24C	磨料或微粒材料的喷射
B24D	磨削、抛光或刃磨用的工具
B25B	其它类不包括的用于紧固、连接、拆卸、或夹持的工具或台式设备
B25C	手持钉钉或钉U形钉工具；手动轻便式钉U形钉工具
B25D	冲击工具
B25F	其它类不包括的组合工具或多用途工具；与执行操作无特殊关联的和其它类不包括的轻便机动工具的零件或部件
B25G	手动器械的手柄
B25H	车间设备，例如用于工件划线；车间储存设备
B25J	机械手；装有操纵装置的容器
B26B	其它类不包括的手持切割工具
B26D	切割；用于切断，例如切割、打孔、冲孔、冲裁的机器的通用零件
B26F	打孔；冲孔；切下；冲裁；除切割外的切断
B27B	锯；其零件或附件
B27C	木工刨床、钻床、铣床、车床或通用机械
B27D	加工单板或胶合板
B27F	楔形榫的加工；凸榫；开槽机；钉钉机或钉U形钉机
B27G	附属机械和装置；工具；安全装置，如用于锯床的
B27H	弯曲；制桶；制作木轮
B27J	藤茎、软木或类似材料的机械加工
B27K	木材或类似材料的浸渍、染色、着色、漂白的工艺、装置或材料选择，或其它类不包括的用渗入液体进行木材或类似材料的处理；软木、藤、芦苇、稻草或类似材料的化学或物理处理
B27L	除去树皮或残留树枝；劈裂木材；薄木片、木棒、刨花、木质纤维或木粉的制造
B27M	小类B27B至B27L中不包括的木材加工；特种木制品的制造
B27N	用干燥方法制造物品，带或不带有机粘合剂，物品是由含有木材或其它木质纤维的或类似有机材料的碎粒或纤维构成的
B28B	粘土或其它陶瓷成分、熔渣或含有水泥材料的混合物，例如灰浆的成型
B28C	制造粘土；制造含有粘土或水泥材料的混合料，例如灰浆
B28D	加工石头或类似石头的材料
B29B	成型材料的准备或预处理；制作颗粒或预型件；塑料或包含塑料的废料的其它成分的回收
B29C	塑料的成型或连接；塑性状态物质的一般成型；已成型产品的后处理，如修整
B29D	用塑料或用塑性状态的物质生产特殊制品
B29K	关于成型材料或关于用于增强材料、填料或预型件，例如嵌件，与小类B29B、C或D有关的引得分类表
B29L	关于特殊制品与小类B29C有关的引得分类表
B30B	一般压力机
B31B	纸盒、纸板箱、信封或纸袋的制作
B31C	制作绕制物品，如绕制管
B31D	制作其它纸品
B31F	纸或纸板的机械加工或变形
B32B	层状产品，即由扁平的或非扁平的薄层，例如泡沫状的、蜂窝状的薄层构成的产品
B41B	制版、排字或拆版还字用的机器或附件；铅字；照相或光电排字装置
B41C	印刷版的制造或复制工艺
B41D	铅版印刷版的机械复制设备；弹性或塑性材料的印刷版的成型
B41F	印刷机械或印刷机
B41G	用于金粉印刷，线条印刷，或用于单张纸或类似物品印刷花边或边线的装置；与印刷机相连的穿孔辅助设备
B41J	打字机；选择性印刷机构，即不用印刷的印刷机构；排版错误的修正
B41K	模印机；模印或印号码设备或装置
B41L	办公或其它商业用的复写、复制或印刷设备或装置；地址印刷机或类似的系列印刷机
B41M	印刷、复制、标记或拷贝工艺；彩色印刷
B41N	印版或箔；印刷机上印刷、着墨、润湿用的表面材料；上述所用表面的制备和保存
B42B	单页，成叠纸或书帖的永久性装订，或永久性把物品订在其上
B42C	装订
B42D	书；书籍封皮；活页；未列入其它类的特殊开本或形式的印刷品；与上述物品使用有关的装置；可动条带的记录或读出设备
B42F	单页的临时装订；文件夹；文件卡片；检索用具
B43K	书写或绘图器具
B43L	书写或绘图用品；书写或绘图辅助用品
B43M	其它类不包括的办公用品
B44B	用于艺术制品的机器，设备或工具，例如用于雕塑，扭索饰，雕刻，烙印，镶嵌
B44C	产生装饰效果的工艺；镶嵌制品；镶木制品；裱糊
B44D	其它类不包括的绘画或艺术图；保藏绘画；为获得特殊艺术表面效果或修饰的表面处理
B44F	特种图样或图画
B60B	车轮；脚轮；车轴；车轮附着力的提高
B60C	车用轮胎；轮胎充气；轮胎的更换；一般充气弹性体与气门的连接；与轮胎有关的装置或布置
B60D	车辆的连接件
B60F	轨道和道路两用车辆；两栖车辆或类似车辆；可转换的车辆
B60G	车辆悬架装置的配置
B60H	车辆客室或货室专用加热、冷却、通风或其它空气处理设备的布置或装置
B60J	车辆的窗，挡风玻璃，非固定车顶，门或类似装置；车辆不用时的护套
B60K	车辆动力装置或传动装置的布置或安装；两个以上不同的原动机的布置或安装；辅助驱动装置；车辆用仪表或仪表板；驱动装置的联合控制；车辆动力装置与冷却，进气，排气或燃料供给结合的布置
B60L	电动车辆的电力装备或动力装置；用于车辆的磁力悬置或悬浮；一般车用电力制动系统
B60M	电动车辆的电源线路或沿路轨的装置
B60N	其它类不包括的车辆乘客用设备
B60P	适用于货运或运输、装载或包容特殊货物或物体的车辆
B60Q	一般车辆照明或信号装置的布置，及其安装或支承或其电路
B60R	其它类不包括的车辆，车辆配件或车辆部件
B60S	其它类不包括的车辆保养，清洗，修理，支承，举升或调试
B60T	车辆制动控制系统或其部件；一般制动控制系统或其部件
B60V	气垫车
B61B	铁路系统；其它类不包括的装置
B61C	机车；机动有轨车
B61D	铁路车辆的种类和车体部件
B61F	铁路车辆的悬挂，如底架、转向架、轮轴的配置；在不同宽度的轨道上使用的铁路车辆；预防脱轨；护轮罩；障碍物清除器或类似装置
B61G	联接器；牵引装置或缓冲装置
B61H	铁路车辆特有的制动器或其它减速装置；铁路车辆制动器或其它减速装置的安排或配置
B61J	铁路车辆的移位或调车
B61K	用于铁路的其它辅助设备
B61L	铁路交通管理；保证铁路交通安全
B62B	手动车辆
B62C	畜拉车
B62D	机动车；挂车
B62H	自行车架；自行车停放或存放用支架或固定装置；防止或指示擅自使用或盗窃自行车的装置；与自行车构成一体的锁；学骑自行车的设备
B62J	自行车鞍座或座位；自行车特有的而其它类未列入的附件，例如载物架，自行车保护装置
